date,amount,merchant
2024-03-01,45.50,Whole Foods Market
2024-03-02,15.99,Netflix
2024-03-03,32.75,Starbucks
2024-03-04,89.99,Amazon
2024-03-05,25.00,Uber
2024-03-06,120.00,AT&T
2024-03-07,18.50,Chipotle
2024-03-08,45.00,Target
2024-03-09,15.00,Spotify
2024-03-10,65.00,CVS Pharmacy
2024-03-11,28.75,Panera Bread
2024-03-12,150.00,Verizon
2024-03-13,22.50,Subway
2024-03-14,75.00,Walmart
2024-03-15,12.99,Disney+
2024-03-16,35.00,Shell Gas
2024-03-17,42.50,Olive Garden
2024-03-18,95.00,Best Buy
2024-03-19,19.99,Hulu
2024-03-20,55.00,Costco 
